Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
4;1001064;Поступление зарплаты на счет;Ремонт;0;0.49;мужской;0;0;4;специалист;>250;1;25;39;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0.0072463768;0;1;0;0;0.5555555556;5;4;137;9;2;0;5;48;1;0;0;0;0;0;0
4;1001084;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.44;мужской;0;0;4;рабочий;>250;0;29;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001104;2НДФЛ;Покупка недвижимости/ строительство;0;0.17;женский;1;0;4;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001124;Свободная форма с печатью работодателя;Ремонт;1;0.49;мужской;0;0;4;специалист;< 50;3;8;26;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001144;Свободная форма с печатью работодателя;Ремонт;0;0.18;женский;1;0;2;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001164;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;0;0;5;специалист;>250;0;45;27;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001184;2НДФЛ;Ремонт;1;0.49;мужской;1;0;4;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001204;2НДФЛ;Покупка автомобиля;1;0.3;мужской;0;0;4;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001224;2НДФЛ;Ремонт;1;0.35;мужской;0;0;2;вспомогательный персонал;>250;3;11;53;Торговля;ЗАО;женат / замужем;2;2;2;1;1;0;0;0;0;0;0;0;2;18;2;0;0;83;92;0;0;0;0;0;0;0
4;1001244;2НДФЛ;Ремонт;0;0.41;мужской;0;0;2;рабочий;>250;0;13;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001264;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.38;женский;0;0;4;специалист;< 50;0;7;37;Торговля;ООО;холост / не замужем;1;1;1;0;0;0.0128205128;0;0;0;0;0;0;5;77;5;0;5;13;40;1;0;0;0;0;0;0
4;1001284;Форма банка (без печати работодателя);Ремонт;0;0.24;мужской;0;0;4;менеджер среднего звена;>250;0;39;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001304;Поступление зарплаты на счет;Ремонт;1;0.48;женский;0;0;4;специалист;>250;0;20;29;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.1714285714;0;0;0;0;0.0909090909;2;9;116;11;2;0;10;38;1;1;1;0;0;0;0
4;1001324;Форма банка (без печати работодателя);Ремонт;1;0.37;женский;1;0;4;специалист;< 50;0;8;54;Другое;ООО;холост / не замужем;2;0;0;0;0;0;0;0;0;0;0.5;4;4;264;8;1;0;14;96;0;0;0;0;0;0;0
4;1001344;Поступление зарплаты на счет;Ремонт;0;0.5;мужской;0;0;4;специалист;>250;0;46;29;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;63;4;1;1;11;42;0;0;0;0;0;0;0
4;1001364;Форма банка (без печати работодателя);Другое;0;0.27;мужской;1;0;4;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001384;Поступление зарплаты на счет;Покупка мебели;1;0.39;мужской;0;0;4;специалист;>250;0;21;27;Торговля;ЗАО;разведен / разведена;4;4;3;2;2;0;0;1;1;1;0.5;1;1;9;2;0;0;1;8;0;0;0;0;0;0;0
4;1001404;Форма банка (без печати работодателя);Ремонт;1;0.2;мужской;1;2;4;менеджер среднего звена;>250;0;6;32;Другое;ЗАО;женат / замужем;2;1;1;1;0;0.0147058824;0;0;0;0;0.5;2;2;67;4;0;0;25;39;1;0;0;0;0;0;0
4;1001424;Форма банка (без печати работодателя);Ремонт;0;0.43;мужской;2;0;2;специалист;>250;0;9;34;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001444;2НДФЛ;Ремонт;1;0.55;женский;1;0;4;специалист;>250;0;153;40;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001464;2НДФЛ;Ремонт;1;0.49;женский;0;0;1;рабочий;>250;1;28;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001484;Форма банка (без печати работодателя);Ремонт;0;0.5;мужской;0;0;4;специалист;< 50;0;25;53;Другое;ООО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0;0;1;23;1;0;0;75;75;0;0;0;0;0;0;0
4;1001504;2НДФЛ;Ремонт;0;0.31;женский;2;0;4;менеджер среднего звена;>250;0;140;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001524;Форма банка (без печати работодателя);Ремонт;0;0.13;мужской;0;0;2;рабочий;>250;0;432;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
